id,url_id,user,text,created,updated,references
tqop2BXxEemGzWtmUNsjzw,0,mateodededalmases,"These are all top-bottom approaches which are nice in paper. Actual and meaningful reforms won't come from the IMF or Pope Francis, they will come from grassroots movements, the 99%, working classes, oppressed minorities that organize, etc. ",2019-01-11 22:39:10.601358,2019-01-11 22:39:10.601358,
Q1whyhXxEem-0RMx3goKtw,0,mateodededalmases,The left knelt to neoliberalism way before the crisis. Social democratic parties (the majority or the left) bought in the ideology and are now completely unable to regain its critical standpoint towards it. This is why it now goes on its knees together with neoliberalism. ,2019-01-11 22:35:57.058800,2019-01-11 22:35:57.058800,
woJrKBVoEemsFiOxHUF1Sw,0,sophiet,"Economic liberalism is a system that allows for individualized economic decisions rather than those made by institutions and organizations. A liberal economy contributes to freedom, both political and civil. However, governments are blaming this liberal system as the reason for a global financial crisis. Do you think this is a fair view? ",2019-01-11 06:18:49.360269,2019-01-11 06:18:49.360269,
VU5qlhVbEempI8M4MHsW1w,0,sebastianmbarreto,"I believe a leading reason behind the rise of right-wing forces in Europe and the United States is related to increasing waves of global immigration to the west inducing a strong sense of nationalism as well as the current refugee crisis. Additionally, this upsurge is not only a Western phenomenon, the rise of the far right and distinctive nationalism is occurring across the globe. America's 2016 election is supremely relevant, however recently elected Duterte in the Philippines and Bolsonaro in Brazil also come to mind. Marine Le Pen's fierce challenge in France is another notable case suggesting this may be a global trend. Within our borders one of the hotly debated elements of Justin Trudeau's political administration is their refugee policy.",2019-01-11 04:42:42.536692,2019-01-11 04:42:42.536692,
1QKbShSdEemv_dvoHGv0kw,0,suzcmns432,"I think this is too idealistic. Yes it is in need of an overhaul, and yes, in reference to the above paragraph where financial crisis and climate change SHOULD have spawned a debate, it is nonetheless reality that these things have not happened. Fundamental societal issues along with political inefficiencies are the cause, and blaming one party is not the answer",2019-01-10 06:06:12.632186,2019-01-10 06:06:12.632186,
ZaT-HhSdEemfR8vgL_DPlg,0,suzcmns432,"What does the author suggest is the answer? I think it is one thing to criticize a free-market political system, and it is another to criticize and offer a solution that can realistically be applied",2019-01-10 06:03:05.590091,2019-01-10 06:03:05.590091,
ioCK9hr_EemofOsOkHooEA,6,saniyaJ,"It's a sad truth. Social media plays important role in disseminating the propaganda messages that can be poisonous for a society. As it says here, it can be used to expand the ""reach of radical and fringe ideas and conspiracy theories"", which consequently can lead to the serious issues.
",2019-01-18 09:00:45.233359,2019-01-18 09:00:45.233359,
xQ9oHBouEemh7vPav5yPIw,6,markjdunn,"I'd argue that a significant part of the population would be really interested in this option. Based on the weak voting numbers we see every election and the relatively strong quality of life we have in Vancouver, it seems pretty clear to me that as long as people can find jobs and live indoors (even if it's crazy expensive and involves a long commute) they're happy to leave the government to sort itself out. 

If people had any vision for the future, the ones that do vote would probably stop voting Liberal or Conservative too, wouldn't they? Neither is accountable to the people except when they're pandering around election time and after that they basically do whatever they want. ",2019-01-17 08:06:18.635374,2019-01-17 08:06:18.635374,
J7hQrBotEemmMEdVCkMbWA,6,markjdunn,"Okay, so I can't say for sure, but I'd imagine if you spoke with these diverse communities they probably did not feel like they were part of a shared conversation. 

The gay community, for instance, probably didn't feel like a part of a shared conversation while they were fighting the status quo just to be accepted. And how about the ""shared fact"" that HIV was a gay problem and the ignorant mismanagement of that crisis in the media? 

I'd be surprised if black Americans, for most of the twentieth century and probably still today, felt like they were part of a shared conversation ""based on shared facts."" Especially during the months the black community of Montgomery spent boycotting transit so they could use the same seats as white people. 

I haven't read Mounk's book, but this premise is HUGELY problematic, especially in addition to the social homogeneity point later on. It kind of sounds like, and forgive me if I'm missing the point, that liberal democracy's three crises all involve the declining influence and power of one white, male, heterosexual perspective.

Yeah, liberal democracy is being seriously threatened (unless we argue that neoliberalism has entirely replaced it) but we can't start hearkening back to a socially homogeneous (that's code for white) time with a narrow choice of media viewpoints (also white).

All that being said, point two is valid. When productivity split from worker's wages in the second half of the 21st century economic inequality started down the path that lead to the significant wealth inequality we see today. That's a crisis of liberal democracy.",2019-01-17 07:54:45.142437,2019-01-17 07:54:45.142437,
1atrbBopEemebKtjoNd-iw,6,markjdunn,"Sitaraman, and I suppose more accurately Mounk, is forgetting option 4: a communist people's revolution. It sounds crazy, but that's exactly what the peasants in the Russian Empire were saying to each other in 1916. So crazy, or just crazy enough to work?",2019-01-17 07:30:59.037395,2019-01-17 07:30:59.037395,
